I0,I1,I2,I3,I4,I5,I6,I7,I8
-0.002,-0.001,-0.001,-0.010,0.093,1.009,0.014,0.129,0.000
-0.000,0.002,-0.001,-0.010,0.093,1.009,0.028,0.256,-0.000
0.001,0.000,-0.002,-0.010,0.093,1.009,0.041,0.379,-0.001
0.002,-0.001,0.001,-0.010,0.093,1.009,0.053,0.499,-0.001
0.001,-0.001,0.001,-0.010,0.093,1.009,0.064,0.617,-0.001
-0.000,-0.001,0.001,-0.010,0.093,1.010,0.077,0.731,-0.000
-0.000,0.000,0.001,-0.010,0.093,1.010,0.089,0.842,0.000
0.001,0.000,-0.001,-0.009,0.093,1.009,0.100,0.950,0.000
-0.002,0.000,0.001,-0.010,0.093,1.009,0.111,1.055,0.000
-0.000,0.000,-0.002,-0.010,0.093,1.009,0.121,1.158,0.000
0.003,-0.001,0.002,-0.010,0.093,1.010,0.131,1.260,0.000
0.002,-0.001,-0.001,-0.010,0.093,1.010,0.141,1.359,0.000
-0.000,-0.001,0.002,-0.010,0.093,1.009,0.151,1.455,0.001
-0.000,0.000,0.001,-0.010,0.093,1.009,0.161,1.549,0.002
0.001,0.000,-0.001,-0.009,0.093,1.009,0.170,1.640,0.002
-0.000,0.002,-0.001,-0.009,0.093,1.009,0.179,1.728,0.002
-0.000,-0.001,0.001,-0.009,0.093,1.010,0.188,1.814,0.002
0.001,-0.001,-0.001,-0.009,0.093,1.010,0.195,1.899,0.003
-0.000,0.000,0.001,-0.009,0.093,1.009,0.203,1.982,0.003
-0.000,0.000,-0.001,-0.010,0.093,1.009,0.211,2.063,0.003
0.002,-0.001,0.001,-0.010,0.093,1.009,0.219,2.143,0.003
-0.000,0.000,0.001,-0.010,0.094,1.009,0.227,2.220,0.004
-0.002,0.002,-0.001,-0.010,0.094,1.009,0.235,2.295,0.004
0.001,0.000,-0.001,-0.010,0.093,1.008,0.243,2.368,0.004
-0.000,0.002,0.001,-0.010,0.093,1.008,0.251,2.439,0.004
0.001,0.000,-0.002,-0.010,0.093,1.009,0.260,2.508,0.004
-0.000,-0.002,-0.001,-0.010,0.093,1.009,0.267,2.575,0.004
-0.000,0.000,-0.001,-0.009,0.093,1.009,0.273,2.641,0.004
-0.000,0.000,-0.001,-0.010,0.093,1.009,0.279,2.706,0.004
-0.000,0.002,-0.001,-0.010,0.093,1.009,0.286,2.769,0.004
-0.000,0.000,0.001,-0.009,0.093,1.009,0.293,2.830,0.005
