I0,I1,I2,I3,I4,I5,I6,I7,I8
-0.001,0.001,0.000,0.002,0.906,-0.373,6.994,111.819,-115.335
0.001,-0.001,0.000,0.002,0.906,-0.371,6.991,111.816,-115.287
-0.001,-0.001,0.000,0.002,0.906,-0.371,7.012,111.799,-115.326
-0.001,-0.001,-0.002,0.002,0.906,-0.372,6.964,111.811,-115.226
-0.001,-0.000,0.000,0.001,0.906,-0.372,7.004,111.800,-115.267
-0.003,-0.000,0.000,0.001,0.906,-0.372,7.035,111.797,-115.244
-0.001,-0.000,0.000,0.001,0.905,-0.373,7.051,111.807,-115.243
-0.000,0.001,0.001,0.001,0.907,-0.373,6.897,111.839,-115.114
-0.001,0.001,0.000,0.002,0.906,-0.372,6.922,111.829,-115.118
-0.000,-0.000,-0.001,0.002,0.906,-0.372,6.936,111.819,-115.102
-0.003,0.001,0.000,0.001,0.906,-0.372,6.876,111.822,-115.115
-0.001,-0.003,0.000,0.001,0.906,-0.372,6.936,111.809,-115.154
-0.001,-0.000,0.000,0.001,0.906,-0.372,6.899,111.814,-115.133
-0.000,-0.000,0.000,0.001,0.907,-0.372,6.857,111.818,-115.129
-0.000,-0.001,-0.001,0.001,0.906,-0.373,6.856,111.822,-115.104
-0.000,-0.001,0.000,0.001,0.906,-0.373,6.874,111.826,-115.057
0.001,-0.000,0.000,0.002,0.905,-0.373,6.923,111.822,-115.106
-0.001,-0.000,-0.001,0.001,0.906,-0.373,6.968,111.821,-115.154
-0.001,-0.001,0.000,0.001,0.906,-0.373,6.988,111.825,-115.153
0.001,-0.001,-0.001,0.001,0.906,-0.372,7.008,111.808,-115.218
0.001,-0.001,-0.001,0.002,0.906,-0.371,7.001,111.794,-115.282
-0.001,0.001,-0.001,0.002,0.906,-0.371,7.036,111.768,-115.412
0.001,-0.000,0.000,0.002,0.907,-0.373,7.012,111.769,-115.535
-0.001,0.001,-0.001,0.001,0.906,-0.373,7.025,111.772,-115.584
-0.000,-0.000,0.000,0.001,0.906,-0.373,7.075,111.774,-115.608
-0.001,-0.000,0.000,0.001,0.906,-0.372,7.131,111.757,-115.690
-0.001,-0.000,0.000,0.002,0.907,-0.372,7.139,111.757,-115.651
-0.001,-0.001,0.000,0.001,0.907,-0.372,7.121,111.760,-115.595
-0.000,-0.000,0.000,0.001,0.907,-0.372,7.121,111.758,-115.578
-0.000,-0.001,0.000,0.001,0.907,-0.372,7.140,111.751,-115.651
0.001,-0.001,0.000,0.002,0.906,-0.373,7.147,111.751,-115.714
0.001,-0.001,-0.001,0.002,0.906,-0.373,7.136,111.764,-115.667
0.001,-0.001,-0.001,0.002,0.907,-0.373,7.096,111.778,-115.615
-0.001,-0.001,-0.001,0.002,0.906,-0.372,7.073,111.788,-115.545
-0.001,-0.001,0.001,0.002,0.906,-0.372,7.081,111.793,-115.448
-0.001,-0.000,0.000,0.001,0.906,-0.372,7.056,111.795,-115.367
-0.001,-0.001,-0.001,0.001,0.906,-0.372,7.103,111.786,-115.387
-0.000,-0.000,0.000,0.001,0.906,-0.372,7.120,111.787,-115.323
-0.000,-0.000,-0.001,0.001,0.906,-0.372,7.100,111.790,-115.290
0.002,-0.001,-0.001,0.002,0.906,-0.372,7.125,111.775,-115.352
0.001,-0.001,0.000,0.002,0.906,-0.372,7.081,111.787,-115.259
-0.000,-0.000,0.000,0.002,0.906,-0.372,6.991,111.816,-115.056
-0.000,-0.000,0.000,0.001,0.907,-0.373,6.943,111.825,-115.011
-0.001,0.001,0.000,0.001,0.906,-0.373,6.875,111.846,-114.850
-0.001,-0.000,0.000,0.001,0.906,-0.373,6.918,111.830,-114.955
0.001,-0.001,0.000,0.001,0.907,-0.373,6.943,111.817,-115.048
0.001,-0.000,0.001,0.001,0.907,-0.372,6.953,111.808,-115.111
-0.001,-0.000,0.000,0.001,0.907,-0.372,6.959,111.800,-115.154
-0.001,-0.000,-0.001,0.001,0.906,-0.372,6.992,111.790,-115.200
0.001,-0.000,0.000,0.001,0.906,-0.372,6.938,111.802,-115.128
0.001,0.001,0.000,0.001,0.906,-0.372,6.995,111.791,-115.154
-0.001,0.001,0.000,0.002,0.906,-0.372,6.944,111.794,-115.179
0.001,-0.001,0.000,0.002,0.907,-0.372,6.946,111.791,-115.187
-0.001,-0.000,0.000,0.002,0.907,-0.372,6.946,111.788,-115.177
0.001,-0.000,-0.001,0.001,0.906,-0.372,6.923,111.794,-115.160
-0.001,-0.000,-0.001,0.001,0.906,-0.372,6.938,111.793,-115.175
-0.001,-0.000,0.001,0.001,0.906,-0.373,7.001,111.780,-115.278
-0.000,0.001,0.000,0.001,0.906,-0.373,7.062,111.775,-115.291
-0.000,-0.001,-0.001,0.001,0.906,-0.372,7.081,111.772,-115.289
0.001,-0.000,0.000,0.001,0.906,-0.373,7.029,111.787,-115.212
-0.001,0.001,-0.001,0.001,0.906,-0.373,7.012,111.789,-115.262
-0.000,-0.001,0.000,0.001,0.906,-0.372,7.001,111.790,-115.297
-0.001,0.001,-0.001,0.001,0.906,-0.373,6.985,111.799,-115.262
-0.000,0.001,0.000,0.001,0.906,-0.372,7.020,111.796,-115.298
